Symbol,Company Name,Sector,Industry
AEXE,AIM Energy Inc,Materials,Metals & Mining
AIM,AIM ImmunoTech Inc,Health Care,Biotechnology
AIMT,Aimmune Therapeutics Inc,Health Care,Biotechnology
AIBEF,AIR BERLIN PLC LONDON SHS,,
AFLYY,Air France KLM SA (ADR),Industrials,Airlines
AFRAF,AIR FRANCE KLM SHS,,
AIRI,Air Industries Group Inc,Industrials,Aerospace & Defense
AL,Air Lease Corp,Industrials,Trading Companies & Distributors
AIQUF,AIR LIQUIDE ORD,,
ANZFF,AIR NEW ZEALAND SHS,,
APD,"Air Products & Chemicals, Inc.",Materials,Chemicals
AIRTP,Air T Inc,Industrials,Air Freight & Logistics
AIRT,"Air T, Inc.",Industrials,Air Freight & Logistics
ATSG,Air Transport Services Group Inc.,Industrials,Air Freight & Logistics
AWTRF,AIR WATER INC OSAKA SHS,,
ABWN,Airborne Wireless Network,Communication Services,Diversified Telecommunication Services
ABSSF,AIRBOSS OF AMERICA CORP,Materials,Chemicals
AIRG,Airgain Inc,Information Technology,"Electronic Equipment, Instruments & Components"
AILQF,AIRIQ INC,Information Technology,Software
ANTE,Airnet Technology Inc(ADR),Communication Services,Media
AIRO,Airspan Networks Inc,Information Technology,Communications Equipment
ARTR,Airtrona International Inc,,
ASEKF,AISIN SEIKI CO LTD SHS,,
AIXN,AiXin Life International Inc,Consumer Discretionary,Distributors
AIXXF,AIXTRON SE,Information Technology,Semiconductors & Semiconductor Equipment
AJLGF,AJ LUCAS GROUP LIMITED SHS,,
AJIA,Ajia Innogroup Holdings Ltd,,
AJINF,AJINOMOTO INC SHS,,
AKAM,"Akamai Technologies, Inc.",Information Technology,IT Services
AKTX,Akari Therapeutics PLC (ADR),Health Care,Pharmaceuticals
SONG,Akazoo SA,Communication Services,Entertainment
AKCA,Akcea Therapeutics Inc,Health Care,Biotechnology
AKBA,Akebia Therapeutics Inc,Health Care,Biotechnology
AKBIF,AKEBONO BRAKE IND CO LTD ORD,,
AKAAF,AKER ASA SHS A,,
KERN,Akerna Corp,Industrials,Professional Services
AKRO,Akero Therapeutics Inc,Health Care,Biotechnology
AKER,Akers Biosciences Inc,Health Care,Health Care Equipment & Supplies
